1	0.10265977 -0.66579545 -0.3382579 -0.047418103 -0.011519447 -0.0750901 -0.044912923 -0.5616547 0.38562542 -0.016523696 0.14553565 0.07871362 0.19119436 -0.061697565 -0.42621845 0.32667717 0.37653697 -0.2737028 -0.332786 -0.21494655 -0.49446958 -0.034239918 0.089920975 -0.2365087 0.101227574 -0.28334388 -0.20698822 -0.06626448 0.3162282 0.30321658 0.25216916 0.601422 -0.34735844 -0.508525 -0.18570818 -0.30284423 0.20982194 0.11754271 0.4570023 -0.0024289098 0.48146966 0.2051039 0.29009825 -0.25216037 -0.551771 -0.3486542 -0.4187256 -0.04283534 0.37586808 -0.1732377 0.3381136 0.76572406 0.2811947 -0.013939131 0.16302781 -0.18077454 0.18249093 -0.329958 0.19590318 0.09249869 -0.10844126 0.271312 0.19102657 -0.2422727
2	0.34258237 0.30755147 0.18864873 0.55287564 -0.06269674 -0.992428 0.44445312 0.4801523 0.30302683 0.11334178 0.25707337 0.8836434 -0.23689039 0.05208458 0.017611444 0.1360156 -0.29502186 -0.25174496 -0.017125059 0.15448333 -0.029135505 0.3209436 0.5465566 0.38418818 -0.05588504 -0.76895213 -0.35143274 -0.027071413 -0.056154825 0.7548742 0.058389325 0.100840226 -0.22350582 -0.19802982 -0.49505788 0.11822784 -0.5817767 -0.688981 0.35488105 0.6838673 -0.11206518 -0.4685032 -0.2984234 0.057608746 0.123737976 0.47982445 0.6203815 -0.266268 0.062309146 0.39972535 -0.11826753 0.48368123 0.47793752 -0.27913535 0.30252424 -0.31120628 0.6600789 0.00889293 0.37179965 0.22473577 -0.563172 0.3157062 0.5827034 0.4738398
3	0.41061002 -0.36809617 0.55457485 0.13660757 -0.5634684 0.5095779 0.2703275 0.34022745 0.30225217 0.53161234 0.39562437 -0.22188519 -0.31438264 -0.6445918 -0.3412998 0.3594447 -0.11939701 0.00022012554 -0.539018 0.20815141 -0.28255937 0.123779714 0.11812374 -0.40310377 -0.44310874 -0.112368 -0.22168042 -0.648906 -0.6957494 -0.37248096 0.28180262 0.28510556 -0.18009308 -0.44701222 -0.11896835 0.3284279 0.021407565 -0.15755875 0.4361723 0.15162939 0.17749405 -0.33923656 -0.4958337 0.5192964 -0.19986752 0.33081838 -0.6901807 -0.06176148 0.57060236 0.57385874 0.51651657 0.17411384 0.028139582 -0.28209436 0.040137235 -0.10561481 -0.18107907 0.79391664 0.2593602 0.7106514 0.11087064 0.5607145 0.3643002 0.38395455
4	0.55805343 0.1661593 0.28337392 -0.03776293 -0.6796322 0.4390918 0.52669215 0.036944192 0.031407088 0.38523498 0.6115525 -0.4502201 -0.15461183 -0.8150535 0.22299513 0.7930443 -0.5951476 0.56913495 -0.4784122 0.42271376 -0.07579954 0.18394563 0.06769208 -0.36094537 -0.5178254 -0.33708206 0.13852456 -0.49238613 -0.34578836 -0.14361906 0.22349252 0.8303368 -0.047726892 -0.41053617 -0.20757805 0.8778188 -0.40780348 -0.43594813 0.43810657 -0.22626555 -0.14816685 -0.09156123 -0.12974475 0.39339793 -0.27180162 -0.020258673 -0.38527358 0.4304833 -0.4434918 0.8458911 -0.17466687 -0.24622875 0.46131387 -0.14804038 -0.18733536 0.10552224 0.11824323 0.45095992 0.07316452 0.43043306 -0.03784844 0.3857651 0.5762926 0.07855897
5	-0.616357 -1.0596721 -0.53812575 0.43764076 -0.012405856 0.12400405 -0.027776806 -0.43412638 0.9488929 -0.24063516 -0.22995028 -0.64335465 0.58604944 -0.36173236 -0.7680295 -0.01904753 0.30352718 -0.25741434 0.108121075 -0.061537266 -0.34321368 0.37968835 0.06630154 0.166432 -0.35182083 0.03212523 0.24462457 0.5545507 0.56802964 -0.5042871 0.79050595 0.04813797 -0.16274716 0.06949509 -0.36873072 -0.5612942 -0.07857035 0.3668819 -0.21118271 -0.45147377 0.08905841 0.5951066 0.53959584 -0.5053784 0.2576887 -0.5208245 0.23722015 -0.41207302 0.12663338 0.01208913 0.0997679 0.674061 0.30742964 0.12114891 0.9587376 -0.74787647 -0.5793965 -0.5075661 -0.096220694 0.25838786 0.33693063 -0.12243322 0.046448193 -0.53664565
6	0.08165341 -0.21160021 -0.34960908 0.008403003 -0.19204313 -0.63926476 0.40659028 -0.6104957 -0.020032 0.32949123 0.3808348 0.72675747 0.33629423 0.11092213 -0.454024 0.24599347 -0.3754543 -0.14788562 -0.34733656 0.39448997 -0.16237742 -0.1010658 0.7484788 -0.23324217 0.05462492 -0.8321478 -0.7868914 -0.45762664 0.28316206 -0.1882003 -0.28948548 0.13824552 -0.07238584 -0.53588766 0.3155054 0.2184721 -0.54708046 -0.47749412 0.23015985 0.6540929 0.80735403 0.3424787 0.2939536 -0.16637185 -0.34505576 -0.4171011 0.2860735 -0.559944 0.077733934 0.18375877 -0.09124942 0.14093494 -0.28856972 -0.17355487 0.58759934 -0.21370159 0.8869071 -0.21195287 0.40596014 0.13884401 -0.32755303 0.1002607 -0.060872845 -0.25175756
7	0.5326717 -0.31532267 -0.64440453 -0.31257993 -0.24410392 0.20908001 0.078408346 -0.7246611 0.8617944 0.06467893 0.13710211 -0.4977343 0.7266517 -0.3936191 -0.26117283 0.09198195 0.10808762 0.055932604 -0.23534566 0.25021046 -0.40751794 0.0744214 0.057975344 -0.039401144 -0.21376985 -0.05002412 -0.040176008 -0.2258862 0.49113482 -0.71758723 0.115226716 -0.20935944 0.21951978 -0.38564742 0.1142582 0.2184675 0.11516377 -0.23098928 0.046771504 0.023365784 0.08997668 0.55212855 0.60343504 -0.19210565 -0.2447407 -0.58244115 -0.23004447 -0.023598585 0.6944442 -0.26872483 -0.087715566 -0.3032445 -0.21139345 -0.092453614 0.43453377 -0.26311886 -0.25651422 -0.44302267 -0.07214669 0.34279135 0.51783025 0.04800182 0.61689067 -0.5392919
8	0.7411278 -0.0014240295 -0.12371297 0.38208255 -0.33340088 0.7485067 0.14462121 -0.27931282 0.28258166 0.49681827 0.37536922 -0.18279502 0.13330437 -0.6966784 -0.017471146 0.20012918 0.24222714 0.05994318 -0.31995922 0.77137756 0.42794907 -0.032120854 0.69066876 -1.1605744 -0.64768434 -0.059721336 -0.112609684 -0.6488043 -0.02424415 -0.14347494 -0.30653983 0.9341584 -0.69101 -0.5571408 -0.47946283 0.6845377 -0.6239069 0.22339834 0.27666768 -0.24513605 0.879406 0.16729349 0.1655653 -0.09139675 -0.55419475 -0.26727816 -0.56971884 -0.30449647 0.026531424 0.23395728 0.28197247 -0.14201482 0.34531412 -0.47556078 0.37894008 -0.60548264 0.006570895 0.08045855 0.038291782 0.15509516 0.5284152 0.2907025 -0.08796705 -0.21895798
9	0.35962176 -0.3558881 -0.15896912 -0.04187114 0.32700503 0.06544844 1.5921711 -0.11966773 0.38255844 -0.31884682 0.5047893 -0.117868885 0.03260431 0.20405515 0.1439075 0.85142577 -1.4425164 -0.62708604 -0.5028753 -0.10079957 -0.5639488 0.26777312 0.009185278 0.2978056 -0.07508477 -0.12873349 0.17867291 0.36838785 0.05591436 -0.25442827 -0.035004638 -0.43742508 -0.2288876 -0.3908891 0.2624535 0.41478837 -0.5706647 -0.91913915 -0.5308783 0.42635536 0.534409 0.15293154 -0.033360116 0.017056197 0.50940967 -0.07718376 0.97072893 0.78492516 0.043283846 0.7573503 -0.5015772 0.17534208 0.056099165 0.0057160724 -0.22484651 -0.8193176 0.07167952 -0.042099882 0.26920703 1.2592479 -0.13238089 0.4244509 0.34192875 0.05156667
10	0.35355675 -0.58308107 -0.48422825 -0.22850738 -0.38988626 -0.024359638 0.45682305 -0.8275007 0.39088532 0.12466282 0.37188762 0.3223214 0.36291686 -0.24805105 0.082283795 0.09971802 -0.5881803 -0.3071749 -0.5158645 0.07187849 -0.49304396 0.04002004 0.06800338 -0.21977918 -0.07292065 -0.27623 -0.34935343 -0.33008924 0.37207887 -0.47511896 -0.12387386 0.019776963 0.3872745 -0.623202 0.46287447 0.14216465 0.26309776 -0.50413173 0.40347627 0.6727744 0.13153028 0.5249894 0.4093675 -0.43515056 -0.15807095 -0.54902107 0.052573092 -0.23143306 0.28135678 0.4410055 -0.0048645996 0.20071414 -0.44879982 -0.43446323 0.07143068 0.12224693 0.26122957 -0.27251655 0.48998082 0.2695471 -0.1570847 0.38288486 0.50021976 -0.43386728
11	0.2893304 -0.008229552 -0.28132197 0.28230307 0.065857485 -0.19376309 0.46098065 -0.5094919 0.18020068 -0.21531579 0.035297457 0.21528268 -0.20665339 -0.10819703 -0.22315839 0.45655078 -0.18115807 -0.12763485 -0.14863497 0.18035628 -0.44299483 0.46615246 0.013224868 -0.03269246 -0.22711799 -0.047683455 0.16313544 0.20411538 0.4296247 -0.070994966 0.48354048 -0.04155354 -0.18997121 -0.08851573 -0.021224631 0.102221474 -0.02187422 0.20421325 0.7013129 0.010680732 -0.009221155 0.45310515 0.40189767 0.04795027 0.15829049 -0.4511829 0.32181948 -0.13802038 0.15820792 0.57051116 0.20870137 0.77254635 0.026851349 -0.686885 0.40965763 0.13482201 -0.25486803 -0.21549517 0.15293173 0.53056824 -0.14164394 0.58321774 0.5275434 -0.4345869
12	0.83302784 -0.021057744 -0.32705745 0.04099934 -0.24674436 -0.16767521 0.38529834 -0.49706137 0.2863082 0.18839857 0.42088974 0.4732654 0.19007179 -0.20460995 0.4098183 0.39067227 -0.13519037 -0.21371403 0.11495643 0.8356764 -0.1210735 0.33670822 0.3794087 -0.19824162 -0.11950373 -0.47639433 -0.5717251 0.20200963 0.2925429 -0.053172592 0.095379 0.1836006 0.03470658 -0.31719512 0.027861102 0.6638438 -0.585714 -0.0774323 0.10944444 0.25716978 0.34470436 0.38667348 0.32801595 -0.24752416 -0.88294876 -0.44624153 -0.037317097 -0.32022893 0.3148972 0.36246982 0.55519265 0.3060762 0.08446197 -0.69614935 0.1412638 -0.11459991 0.04126588 -0.2966874 0.27726158 0.10405968 -0.40190974 0.29174453 0.7990602 -0.49348757
13	0.19223389 0.17407112 -0.2547256 0.6271956 -0.357523 0.20381734 0.34742442 -0.28920987 0.97729206 -0.08916481 0.11706831 -0.37331536 -0.05781535 -0.4320212 -0.25132865 0.33581552 -0.36849722 0.41784468 -0.17637725 -0.12814584 -0.2166411 -0.095424905 0.3294872 0.26268053 -0.5009979 0.28778142 0.4300451 -0.35126603 0.03151061 -0.4210557 0.3089369 0.23545799 -0.053897146 -0.37728488 0.039878532 -0.13583347 -0.26141375 -0.14412104 0.11041177 0.14477785 -0.7014258 0.36142033 0.220237 0.42933404 0.4191856 -0.32129416 -0.100172035 -0.20467474 0.8906202 -0.0518306 0.075761646 0.43611002 0.012899382 -0.34423438 0.6566763 -0.49115086 -0.5591529 0.47641242 0.19408698 0.48741582 0.318185 0.6181324 0.89305055 -0.21343136
14	-0.6237034 -0.2940399 -0.65781903 0.21971117 -0.11535236 -0.4216324 0.26423714 -0.5385923 0.42009714 0.11075613 -0.011276763 0.6143753 0.15614428 -0.059307557 -0.2784098 0.28757697 -0.22952747 -0.3199671 -0.5627221 -0.15298067 -0.76176596 0.18509571 0.022941694 0.0014097653 0.0713961 -0.27839282 -0.32021794 -0.024857547 0.72685444 0.26691645 0.3549598 -0.07596141 -0.0011012638 -0.15176205 0.16649234 -0.019803876 0.3573853 -0.5549813 0.30740225 0.6153703 -0.13937873 0.4834333 0.5046724 -0.5470582 -0.0871648 -0.40892184 0.47097325 -0.18156573 0.17281033 -0.032195717 0.42927474 0.74312156 -0.051844228 -0.2694546 0.7646314 -0.062064204 0.67361593 -0.8440523 0.5655648 0.040563278 -0.47890627 0.086814515 0.29395658 -0.38920692
15	0.2847861 0.39070395 0.19582453 0.23809004 -0.13267854 -1.068859 -0.121893734 0.7549338 0.32216245 0.19233628 0.21517219 0.74626505 -0.15616801 -0.15176804 0.07916388 -0.14749806 0.044969052 -0.49882922 0.28953448 0.5215713 -0.09144321 0.65232086 1.1036994 0.27835563 -0.07118881 -0.44307852 -0.082243465 -0.17299677 0.039555635 1.0400648 0.2836037 -0.23326983 -0.5006347 0.012911517 -0.8085158 0.20908836 -0.48054636 -0.5254592 0.15326062 0.5419544 -0.046935476 -0.42621154 -0.21796189 -0.15344688 -0.5625415 0.57941854 0.67239666 -0.22626786 0.33163312 -0.2605166 -0.29358113 0.2668176 0.65203965 -0.17154807 0.65252197 -0.15782596 0.41196707 -0.25733373 -0.13401094 0.039055485 -0.59717065 0.038811054 0.4154042 0.37109858
16	0.28571954 -0.36698082 -0.5360611 0.33373824 -0.267634 0.1504044 0.5181587 -0.72979456 -0.028797932 0.5152008 0.5522218 -0.11754649 0.42336997 -0.28660437 -0.09338221 -0.09138684 -0.11493269 0.00827419 -0.0972007 0.2597434 0.19536161 0.07157503 0.117029965 -0.33593166 -0.3181828 -0.2790304 -0.17130613 -0.49719465 0.3998476 -0.21175025 -0.107669845 0.3927927 -0.11244556 -0.22834803 -0.142089 0.32783225 -0.18369853 -0.11259622 0.13793072 0.10367987 0.4093774 0.61581004 0.5564569 -0.4604749 -0.29564378 -0.6128481 0.29119858 -0.4495976 0.06439042 0.52192885 0.08748156 -0.3931775 0.12595436 0.03516881 -0.18709308 -0.085946314 -0.017073257 -0.20473836 0.3276312 0.41679218 0.07773032 0.44171008 0.38979012 -0.59719354
17	0.011954758 -0.6119818 -0.050495684 -0.009184625 -0.35705832 -0.5630215 0.5111312 0.37628606 0.27325508 0.05455631 0.27919194 0.5141507 0.23591615 -0.36054614 -0.36424807 0.16441697 -0.2607625 -0.6618496 -0.6184921 0.073534325 -0.4628265 0.3093678 0.31135988 -0.035289876 -0.066937074 -0.1430435 -0.31810302 -0.43813747 0.28409776 0.74050355 0.49693882 0.124767184 -0.06332146 -0.48313236 -0.21397696 -0.08194027 0.23774503 -0.8872925 -0.061365824 0.71726394 0.06001546 -0.37059182 -0.15562114 -0.5089407 -0.29687482 0.4317601 0.42441326 -0.41340998 0.38770905 0.29186302 0.05581547 0.34545448 0.40284395 -0.4455114 0.27372363 -0.03966773 0.5568332 -0.4654607 0.32588193 0.3280394 -0.50568837 0.18319422 0.20368676 0.3263613
18	0.34885946 -0.1894965 -0.6920152 0.13471721 -0.07848729 -0.5224942 0.21448301 -1.0650235 0.3413335 -0.2847033 0.09279506 0.74966747 0.12140164 0.3511035 0.2236453 0.35400665 -0.5453632 -0.0611869 -0.15068084 0.084094524 -0.43015587 0.16947523 0.055379875 0.2861184 0.36842066 -0.7637064 -0.35505316 0.39801896 0.6394945 -0.36412773 -0.052315094 -0.17410406 0.34629798 -0.20340876 0.6200874 -0.059060153 -0.38604155 -0.2276644 0.34568182 0.56197447 0.1688911 0.61076534 0.6729782 -0.22410062 -0.24477258 -0.8556271 0.25985047 -0.33305278 0.26764867 0.47112375 0.1743778 0.4117056 -0.56015563 -0.5816997 0.1912474 0.2317854 0.3949304 -0.6250726 0.81632483 0.24442476 -0.5469846 0.251916 0.59254724 -0.61254364
19	0.1057429 -0.9101955 -0.26830027 -0.039102785 -0.3987445 0.042561106 0.66492933 -0.39246455 0.95219594 0.19764414 0.39303738 -0.18094875 0.1874211 -0.25020283 -0.76997936 0.48015082 -0.54808307 0.16505232 -0.37588 0.33042428 -0.34124213 0.16650744 -0.28433537 -0.38034356 -0.2693156 -0.32384107 -0.23646758 0.046081502 0.19188528 -0.3778423 0.392991 0.16049898 -0.013558762 -0.37527353 0.033040978 0.21161798 -0.29694822 0.15397432 0.35242316 -0.17035355 0.68471926 0.23352638 0.21915926 0.025331855 0.21842353 -0.30349442 0.36423427 -0.08209335 0.6396867 1.2547786 0.911402 0.24048075 0.026506927 -0.2987069 0.17104173 -0.31568524 -0.19387816 0.10185119 0.5041696 0.7496264 0.29185027 0.916543 0.49096352 -0.19096167
20	0.1921183 -0.21897814 -0.58363587 0.4439659 -0.531889 -0.30908605 -0.15116766 -0.16282071 0.3828904 0.6026142 0.15276334 -0.1911689 0.6530507 -0.41991472 -0.41061962 -0.15546109 -0.07923893 0.100825846 0.112368956 1.0278742 0.10601648 0.48628265 0.67354256 -0.20521437 -0.2636523 -0.3866775 0.2506691 -0.14091718 0.6036601 0.19451144 0.33329222 0.0483227 -0.22910085 0.11934154 -0.52903366 0.4531919 -0.7999314 -0.064317524 0.21794456 -0.15501554 0.14266951 0.64353067 0.7022084 -0.549468 -0.59106624 -0.5915646 0.520645 -0.4575731 0.2945389 0.12123574 0.29569975 -0.053571835 0.45717052 0.1577826 0.24470308 -0.4280773 0.20082971 -0.66762793 -0.04819115 0.20273222 -0.33580557 -0.27026135 -0.08353287 -0.7477842
21	0.018107403 -1.0374225 -0.051778622 -0.32440612 -0.31209254 1.0015574 0.08424689 0.740178 0.9091172 0.19708985 0.21309863 -1.1901858 0.24282147 -0.8103657 -0.3983351 0.045986697 0.032701887 -0.7595715 -0.7450551 -0.42027932 -0.88176143 0.31656328 0.25591522 0.34348124 -0.6954036 0.777546 0.2933267 -0.4408925 -0.073835075 0.07096269 0.96958613 -0.01069241 0.4848985 -0.25797772 -0.61125445 -0.3681551 0.34091842 -0.7878931 0.044521637 0.18433908 -0.6807605 -0.28420198 -0.22990668 -0.4524657 0.035723183 0.7084427 -0.29826313 0.115414664 1.3458524 -0.53126603 -0.4993183 0.39899778 0.4788115 0.49080366 0.9576352 -0.72981024 -0.6046038 0.13888282 0.01672509 0.74842167 0.49026355 0.2486244 0.15736419 0.37081382
